Variable,Bin id,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Coefficient,Points
YEARS_BEGINEXPLUATATION_MEDI,2,"[0.98, 0.98)",24288,0.099,22548,1740,0.072,0.13,0.002,0.0,-0.957,0.151
YEARS_BEGINEXPLUATATION_MEDI,3,"[0.98, 0.98)",15379,0.063,14306,1073,0.07,0.159,0.001,0.0,-0.957,-1.068
YEARS_BEGINEXPLUATATION_MEDI,4,"[0.98, 0.99)",39634,0.161,36982,2652,0.067,0.204,0.006,0.001,-0.957,-2.991
YEARS_BEGINEXPLUATATION_MEDI,5,"[0.99, inf)",14134,0.057,13369,765,0.054,0.429,0.009,0.001,-0.957,-12.659
YEARS_BEGINEXPLUATATION_MEDI,6,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.957,5.726
YEARS_BEGINEXPLUATATION_MEDI,7,Missing,120081,0.488,109047,11034,0.092,-0.141,0.01,0.001,-0.957,11.758
YEARS_BUILD_MEDI,0,"[-inf, 0.69)",19395,0.079,17884,1511,0.078,0.04,0.0,0.0,0.024,5.769
YEARS_BUILD_MEDI,1,"[0.69, 0.80)",32835,0.133,30578,2257,0.069,0.175,0.004,0.0,0.024,5.916
YEARS_BUILD_MEDI,2,"[0.80, 0.85)",16954,0.069,15834,1120,0.066,0.217,0.003,0.0,0.024,5.962
YEARS_BUILD_MEDI,3,"[0.85, inf)",13141,0.053,12393,748,0.057,0.376,0.006,0.001,0.024,6.135
YEARS_BUILD_MEDI,4,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.024,5.726
YEARS_BUILD_MEDI,5,Missing,163683,0.665,149443,14240,0.087,-0.081,0.004,0.001,0.024,5.638
COMMONAREA_MEDI,0,"[-inf, 0.00)",13931,0.057,12872,1059,0.076,0.066,0.0,0.0,-0.53,4.157
COMMONAREA_MEDI,1,"[0.00, 0.01)",12890,0.052,11945,945,0.073,0.105,0.001,0.0,-0.53,3.228
